,Input.image,Input.image,absolute-clarity-vs-relative-clarity,multiplicity-vs-unity,Linearly-vs-Painterly,Planar-vs-Recessional,closed-form-vs-open-form,amusement,anger,awe,contentment,disgust,excitement,fear,sadness,something else,overall_negative,overall_positive,overall_something
19,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000175.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000175.png,0.35,0.5,0.35,0.1,0.6,0,0,1,0,2,1,0,0,1,0,1,0
20,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000179.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000179.png,0.7,0.75,0.7,0.3,0.65,1,0,0,1,1,0,1,1,0,1,0,0
21,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000185.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000185.png,0.85,0.7,0.85,0.65,0.7,0,0,0,1,0,0,1,2,1,1,0,0
22,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000187.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000187.png,0.85,0.55,0.95,0.5,0.9,1,1,0,1,0,0,2,0,0,1,0,0
23,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000198.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000198.png,0.55,0.55,0.95,0.7,0.8,0,0,1,0,0,1,0,2,1,0,1,0
24,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000208.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000208.png,0.5,0.65,0.6,0.2,0.55,3,1,0,0,1,0,0,0,0,0,1,0
25,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000220.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000220.png,0.65,0.75,0.9,0.3,0.35,0,0,1,0,2,1,1,0,0,1,0,0
26,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000225.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000225.png,0.6,0.75,0.9,0.65,0.65,0,0,2,0,0,0,2,1,0,1,0,0
27,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000230.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000230.png,0.65,0.4,0.7,0.45,0.5,0,0,0,0,4,0,1,0,0,1,0,0
28,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000236.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000236.png,0.7,0.8,0.65,0.4,0.55,1,0,0,1,0,0,0,2,1,0,1,0
29,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000237.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000237.png,0.45,0.45,0.7,0.65,0.7,0,0,1,1,0,0,1,0,2,0,1,0
30,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000254.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000254.png,0.45,0.6,0.4,0.5,0.4,0,0,0,1,0,1,2,1,0,1,0,0
31,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000259.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000259.png,0.8,0.5,0.85,0.35,0.3,1,0,1,1,1,0,0,0,1,0,1,0
32,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000261.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000261.png,0.75,0.95,0.8,0.65,0.8,0,0,0,1,0,0,2,1,1,1,0,0
33,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000268.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000268.png,0.45,0.7,0.75,0.8,0.75,0,0,0,1,0,1,1,1,1,0,1,0
34,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000276.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000276.png,0.65,0.7,0.7,0.75,0.4,0,1,0,0,2,1,1,0,0,1,0,0
35,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000280.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000280.png,0.35,0.55,0.7,0.25,0.5,0,1,0,2,0,0,0,1,1,0,1,0
36,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000303.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000303.png,0.6,0.7,0.7,0.4,0.65,0,0,0,1,0,0,4,0,0,1,0,0
37,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000311.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000311.png,0.45,0.8,0.9,0.4,0.55,2,0,0,0,0,1,2,0,0,0,1,0
38,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000316.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000316.png,0.3,0.8,0.8,0.85,0.7,0,1,0,2,0,1,1,0,0,0,1,0
39,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000331.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000331.png,0.7,0.8,0.7,0.6,0.75,0,0,2,0,0,0,2,0,1,0,1,0
40,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000337.png,https://crw2020.s3-us-west-2.amazonaws.com/sg2/Plain-ST2_human_evaluation/highest_NN_dist000337.png,0.55,0.75,0.6,0.45,0.35,0,0,0,2,1,1,1,0,0,0,1,0
